Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-B8-A54K-01A,0.003401794394208,0.00113565697665705,0,0,0,0.297241673540947,0,0,0,0,0.15061183068764,0,0.106722559364669,0.0937942485819172,0.0376074729359732,0.0421381819262368,0.00443848652291755,0.00227869577700774,0.25400790088789,0,0,0.00662149840393692,0.688,0.00163922936903673,1.08633652544823
TCGA-BP-4170-01A,0.0281152632648624,0,0.0150083648139345,0.208271934404181,0,0.264607890861156,0.00899666797154891,0.0227068367802818,0,0.0577135594977444,0,0.00628898424726974,0.012235092615925,0,0.132446826668269,0.197226894314886,0.00978250751358353,0,0,0.0305938726290205,0.0032445184050185,0.00276078601231937,0.039,0.184498866007037,1.02706099752114
TCGA-AK-3425-01A,0.0375040688751953,0,0.0313174921133687,0.269952416950988,0,0.0371502472232325,0.0196307458155518,0.0158041814247764,0.0290608188438216,0.0220415832696838,0,0.011428931606656,0.0258601272910668,0.101601358501438,0.0781838909616519,0.272812452517701,0.00530142416343089,0,0.0324662899084184,0,0,0.00988397053301845,0.001,0.379390152071042,0.925710823013813
TCGA-3Z-A93Z-01A,0.100462998176961,0,0.0708105135966871,0.0638981699604626,0,0.139343836987663,0,0,0.0131714599813075,0,0,0.114698436236342,0.0878779770079756,0.0239723198487116,0.156825822979956,0.101486942804126,0.044782148504204,0,0.0709886846667474,0,0.0116806892488567,0,0.0580000000000001,0.157914224652319,1.02681468586552
TCGA-DV-A4W0-01A,0.0507586714548075,0,0.0233392690023525,0.0687128189513892,0,0.167440897223567,0,0,0.00398049294869703,0,0.0374280713013996,0,0.0221036303277068,0.0742377441465252,0.0826381456778344,0.336710619044531,0,0.000409145074088051,0.131401770877636,0,0.00083872396946646,0,0.0659999999999999,0.142121431555759,1.02363453245907
TCGA-B8-5545-01A,0.097845120482316,0,0.0354439234306826,0.110322146811983,0,0.129759044821016,0,0.00446662582349418,0.0118475902837106,0.00243378359271875,0,0.0665274366010455,0.0257771998944234,0,0.0903905782459855,0.286984846619345,0.0270171027585983,0,0.0971561806107372,0,0,0.0140284200239442,0.002,0.328217612102108,0.946667530593839
TCGA-CJ-4639-01A,0.028339071271522,0,0.00833365449624716,0.500317291367271,0,0.0835149097275507,0,0.0392859821845382,0.00858118497112282,0.0191954301810903,0,0.0484499801541099,0.0149247243544223,0,0.102809956975224,0.0962043784299186,0.00715806624449617,0,0.0428853696424874,0,0,0,0,0.448265616593061,0.900940051850572
TCGA-B8-4146-01B,0.00596427773403626,0,0.00129271569522295,0.0675080375395125,0,0.327986037391298,0.0534195553455801,0,0,0.074180050881849,0,0.0263656054273735,0,0.0135550478744623,0.105705290292369,0.252351760090277,0.00231987712597328,0,0.050010964837418,0,0.0192212482914074,0.000119531473220348,0.024,0.212392871944352,1.00424603471996
TCGA-BP-5195-01A,0.0181646188691687,0,0.005270348061556,0.157535857884874,0,0.177401268877832,0,0.00103797415685141,0.0360968703529438,0,0.00872704743937292,0.0191807214762349,0.148205799626224,0,0.0810204523891835,0.274144544625196,0,0,0.0618585866995423,0,0,0.0113559095410205,0.017,0.234243199013805,0.988310377513282
TCGA-DV-5567-01A,0.00282193585846183,0,0,0.047565178523455,0,0.156784098875197,0,0,0.00523236278374566,0,0.0350344872557582,0.031479474398051,0.0176936809469996,0.0738450813354535,0.0443537134047037,0.322754370867136,0,0.0508273184981152,0.211608297252922,0,0,0,0.536,0.021080090442801,1.07475431037684
TCGA-CZ-4854-01A,0.0395531827930431,0,0.012280402022321,0.146761237683484,0,0.166009977663605,0,0.0269063250726617,0.0382580022580027,0.0260734514702925,0,0.0302021581217193,0,0.24228080954764,0.0762779512292862,0.16871959379161,0,0,0.0266769083463352,0,0,0,0.101,0.116301412142273,1.04880281329977
TCGA-BP-4340-01A,0.0437238598380896,0,0.0400029459093928,0,0,0.293193112080798,0,0.00364799648413198,0.0178117163763726,0.0457750513932337,0,0.0812082450605555,0.0515709076427247,0.0126136257650887,0.130978993923783,0.146787538671334,0,0,0.132686006854496,0,0,0,0.131,0.100009883705403,1.04660364566952
TCGA-B0-4844-01A,0.0354530226872666,0,0.00325536122458119,0.291184084625802,0,0.177642077641463,0.00117127103084089,0.0314742820957651,0.0439283553094104,0.0262670152333305,0,0.00150734909289583,0.048112053101541,0.0445240482185774,0.120242960899856,0.144699481299217,0,0,0.0304499920776936,0,0,8.86454617588448E-05,0.0570000000000001,0.160597980488418,1.03776045510484
TCGA-BP-4774-01A,0.0554534373664966,0,0.00600861525108915,0.182507400487196,0,0.177793702110665,0,0.0240503232510307,0.00684760584742091,0,0,0.0953174791486972,0.0610057236749477,0,0.0940774485316043,0.13068489383263,0,0,0,0.166253370498223,0,0,0.192,0.0835951920309316,1.07301617438634
TCGA-B8-A54D-01A,0.00777535154218412,0,0.00403400938928951,0.495678434284428,0,0.0380563173565494,0.00231269798329392,0.0532741802118616,0.0308641818713901,0.0399842624666854,0,0.0677009468591046,0.00223755620915687,0,0.0556965841041909,0.171364259323632,0.00816777534062139,0,0.0182506269197285,0,0,0.00460281613788426,0,0.414124869659612,0.922316146983351
TCGA-BP-5190-01A,0,0.00112787203250712,0.00825306055005999,0.19371504352244,0,0.182051775104856,0,0.0129225173718242,0.0265785984118588,0.0299578010990829,0.00920754660171254,0.0296513752382151,0.101621116889849,0,0.112308008981149,0.235909656052549,0,0.00325106301887208,0.0534445651250244,0,0,0,0.0659999999999999,0.140681553063686,1.03480560103681
TCGA-B8-A54J-01A,0.0234402412156567,0,0.0068878231592699,0.377301036689877,0,0.120229332631257,0.00103206922513943,0.0406481321347994,0.0294339873955595,0,0.0560036431467331,0,0.111650682536527,0,0.0995158751047076,0.112241273174309,0,4.41419572518582E-05,0.021571761628912,0,0,0,0.0659999999999999,0.140603620661975,1.05409745538152
TCGA-CJ-4635-01A,0.00510601289569931,0,0.00234057147605899,0.500973950822962,0,0,0.036524516500378,0.047158233234935,0.0401739456790983,0.0310938391777324,0,0,0,0.103426149718066,0.0556567494674372,0.137904734351763,0.00428599608427157,0,0.0353553005915972,0,0,0,0,0.415012783219396,0.915042361166946
TCGA-AS-3777-01A,0.0817863879313183,0,0.00632787886852058,0.0680512004517437,0,0.138520759569225,0,0.0311922311327563,0.0539146439210007,0.032136609998864,0,0.0470176168943368,0.0177292653777026,0.0581827660875176,0.103669527535489,0.218059779509012,0.0232215634041046,0,0.107902318828486,0,0,0.0122874504899234,0.333,0.0511747244887453,1.05751724234831
TCGA-CJ-6030-11A,0.168699755980217,0,0,0.107607855145215,0,0.313541707699499,0,0.00458684073057825,0.0176806429420138,0,0,0.0461847392650759,0.039497414195493,0.0180071680177844,0.080910773304267,0.106242337069264,0.0207318071914423,0,0.0633649522365115,0,0,0.0129440062226387,0.144,0.0938194484189223,1.05551694428727
TCGA-AK-3443-01A,0.0433946065553063,0,0,0,0,0.117486333789014,0,0,0.036002580301962,0.0156470365878645,0.0256889564624251,0,0.0594952168407668,0.245135437500568,0.0114222493091594,0.100911837222191,0,0.0715438501937364,0.224863796839421,0,0.0333828109692267,0.0150252874283585,0.67,0.00401168594199998,1.08273408928991
TCGA-CW-6093-01A,0.0190255747075893,0,0.000889595905143741,0.0509924182155493,0,0.103730614372829,0.0174155254001048,0,0,0.0483250659012592,0.0973751684730639,0.00867720425596832,0.214002726101589,0,0.0567369209047009,0.238653872149875,0.0137837521991794,0,0.120525952139605,0,0,0.0098656092735423,0.098,0.121521649329638,1.03295768703437
TCGA-BP-5182-01A,0.0107799604684635,0,0.00293217907166983,0.153265204569022,0,0.139920289509069,0.00448031704116795,0.00459707559858936,0.0322142036793399,0.00926635382030344,0,0.0273302097701231,0.0240584630678118,0.161202937793226,0.0758645645747268,0.293245307870142,0.0307110828165712,0,0.0301318503497741,0,0,0,0.001,0.380676896137726,0.926178761558324
TCGA-B0-4813-01A,0.00524695787691096,0.00239547337996795,0.00364503437233617,0.00586908070894346,0,0.24090270149168,0,0,0.103622150682455,0,0,0.0495729684121509,0.0512319872525083,0.162031635428738,0.0170086003188709,0.289916972129487,0,0,0,0.0608148879589986,0,0.00774154998695304,0.017,0.236052601405027,0.993857288462633
TCGA-BP-5000-01A,0.00278809959929516,0,0.00396823281562088,0.348796362230455,0,0.119217970948551,0.00534085621131219,0.0700105038465677,0.0719457959943267,0.00927706962532571,0,0.0361404717276068,0.0614519829200625,0,0.102536344782339,0.127816087715689,0,0.0116357828087686,0.0290744387740794,0,0,0,0.001,0.362089754450462,0.94355010551696
TCGA-A3-3323-01A,0,0,0.00278977784099713,0.123927998539757,0,0.235294209781935,0,0,0.00687902660082461,0,0.0247195627764383,0.00124901884063206,0.116326628226613,0,0.131715452058817,0.296134598095084,0,0,0.0586196289157793,0,0,0.00234409832312277,0.002,0.328063188359922,0.950241373811926
TCGA-A3-3322-01A,0.0339122019898505,0,0.00432963709158409,0.0325067350100475,0,0.149099801258545,0,0.00240776461945018,0.0241772427898938,0,0.0267319077791613,0.0137719135377457,0.0747730979396972,0.00680239416117371,0.0462250305871183,0.501383001319051,0.0529149089527893,0,0.0208117127143357,0.000535059999660224,0,0.00961759024989716,0.0580000000000001,0.158393950698882,1.0291572326759
TCGA-CJ-5672-01A,0,0,0.0133560413001204,0.543198456864496,0,0,0,0.0248915938688626,0.0837513707913702,0,0,0.0478450733723598,0.0785656998710856,0,0.0561563352160267,0.132917287712903,0,0,0.0193181410027751,0,0,0,0.001,0.381863093466646,0.938767581941091
TCGA-BP-4960-01A,0.0245526515528477,0,0.0013701451897286,0.158306067591184,0,0.112479227085572,0,0.0140259311194049,0.0856975604384661,0,0,0.0284130670483345,0.119931981852571,0.18093752871491,0.0624563271387097,0.190564817621748,0,0,0,0.0171206122042787,0,0.00414408244224467,0.173,0.0871898126325595,1.05479121624878
TCGA-B2-4098-01A,0.0003490812245503,0.0209756171161412,0.0515104885137775,0.04930925982599,0,0.0676405075447061,0.0404933588331239,0.0146198429802392,0.0241000069390708,0.00517069940551042,0,0.00368933704099596,0,0.265870642917499,0.0386185190851614,0.324006235494931,0.00518298520466916,0,0.024915082858332,0,0,0.063548335015302,0.0600000000000001,0.156276216883912,1.03851475817175
