Mixture,IL12A,IL12B,IL2,IL10,IL6,IFNG,HMGB1,PDCD1,PDCD2,PDCD1LG2
TCGA-CZ-5467-11A,0.011340436616713278,0.003079886583326305,0.0,0.03840160162267507,0.3031761068632786,0.0011744598177745131,0.31070508615822945,0.012782972344175124,0.18802914319959116,0.0462522354205827
TCGA-BP-4174-01A,0.003968074708107594,0.0029450551631015637,0.0018255768997955848,0.05052124156338407,0.07529075997361549,0.05314215063631515,0.37424651768665984,0.07712954369049098,0.21527463765944208,0.17578862751571828
TCGA-CZ-5985-01A,0.012352914609089691,0.0141462600539713,0.007202031041298263,0.06853992934470156,0.027054911458579592,0.06930742385376237,0.3364312043385465,0.10564975871220016,0.16390284283249273,0.1669886806078456
TCGA-BP-4353-01A,0.023981677586426373,0.007267189011621857,0.004942909322533066,0.06443092538768783,0.0915380065271898,0.06212749369097344,0.3549633135140199,0.10065601440012943,0.2160512288481529,0.1680946907032025
TCGA-B0-5094-01A,0.008717372693767328,0.0053531411672902655,0.004421836183307086,0.02154161243836611,0.16427788011365604,0.0400000006951273,0.2842925201267891,0.06681893373781787,0.2297622358299036,0.06259686997345999
TCGA-CZ-5461-11A,0.00919303589066883,0.0036951314356697454,0.0,0.07309648421920711,0.21007878416906944,0.0018780959588385238,0.33326523493859816,0.007878798179575349,0.2156777314823776,0.05260937116939255
TCGA-CZ-4865-11A,0.026288787559590996,0.002563089697082602,0.0,0.03767817917890076,0.11634300878041115,0.00710701239414462,0.3480150459721805,0.004964258969059783,0.23307869364357475,0.07228026593107308
TCGA-CJ-4644-01A,0.009438940569688765,0.004982924682121025,0.0,0.03533585402729365,0.01282671184805317,0.07570470052356136,0.3650118630761697,0.13934071493678382,0.2311297191757005,0.1555481162071829
TCGA-B0-4821-01A,0.03503669040697553,0.004818836645105553,0.007339948562350306,0.01216438447201011,0.11197704826202706,0.03715098971613901,0.33210710372211394,0.14604934906342215,0.1914984989427308,0.03556530597561434
TCGA-CW-5588-01A,0.006445955829075347,0.009396666780170449,0.0017155562380739436,0.06732348465203887,0.08138784511306521,0.009139693931528357,0.3461646353042763,0.038250455943223315,0.22251508431566627,0.10049403393822202
